BookingId,ProviderId,UserId,PurchasedAtDate,PurchasedAtTime,GrossTransactionalAmount,Amount,VatAmount,VatRatePercent,ProductId
nmbs_cee276d5-a575-4213-93fc-9390889168d2,nmbs,9394f70c-0107-11ed-b32d-771bbb18a580,2022-10-26,11:38:52,84.0,79.25,4.75,6.0,fe8013cd-b11b-46da-b0f1-fd7898a7db7c_40000055
nmbs_ae79d882-be2f-48f1-8406-b8aac52567a3,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-26,14:44:14,9.5,8.96,0.54,6.0,d3ca3725-1658-48ff-b905-d93bc3f06d34_40000105
nmbs_a673f2b5-05d4-4ba8-9f12-eeb79a6c44d0,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-26,14:50:57,5.7,5.38,0.32,6.0,6c52b981-f18d-4376-bc5a-aceef782181d_40000079
nmbs_866b758f-a0a5-48f7-b633-30f6203dc4c0,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-26,14:58:19,9.5,8.96,0.54,6.0,f434b0a8-5e7a-4d15-9049-b02377f8911f_40000105
nmbs_9ffecdcf-4cc6-45e9-8d76-3b670591cc76,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-26,15:16:05,14.1,13.30,0.80,6.0,5c3c8a28-b157-444e-b2ec-7a71d87fdfe3_40000090
nmbs_7ed2e483-5662-402a-a220-1bbb5b50d70e,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-26,15:34:17,12.2,11.51,0.69,6.0,c53e0d9b-0f51-4a33-8192-fa9e12dd80c4_40000145
nmbs_057108f2-c74a-44cb-a22f-23e035d2d880,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-26,16:11:00,10.6,10.0,0.6,6.0,b658ab37-5a3e-4434-adf1-f919970ec27d_40000106
nmbs_a0137500-f5f6-43d0-8415-45385e04cf55,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-26,16:13:28,9.1,8.58,0.52,6.0,c068e90c-e86d-46c9-9ddd-0b50eb522c13_40000106
nmbs_e039910e-53ff-4e13-841c-281bca1f4a09,nmbs,bd8741aa-542c-11ed-8d97-c73bc62d1389,2022-10-26,16:20:03,3.1,2.92,0.18,6.0,e74f91b6-a208-4378-b778-a323335fc82a_40000106
nmbs_56b6b1cb-1660-4c5a-bdee-a97769d9fdff,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-26,16:37:43,3.1,2.92,0.18,6.0,5f936597-1e57-481a-b7c3-f699618813c3_40000105
nmbs_25f81b1f-8f66-4237-a5c9-d143a2ad7185,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-26,16:57:23,4.3,4.06,0.24,6.0,5b934152-fb1a-4652-9f90-567d44b84af1_40000090
nmbs_0c36200a-20e6-424a-a388-48da94801f2e,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-27,07:39:39,19.0,17.92,1.08,6.0,8ec7609d-2e83-4313-a56d-a7a057698b12_40000131
nmbs_3af24159-52a0-4350-8e8a-61d58cc50841,nmbs,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-27,08:24:15,84.0,79.25,4.75,6.0,9970f513-8d5e-4f3f-820a-8f8aeb5527f9_40000055
nmbs_e5847103-b189-450c-8e24-767ce7076f4f,nmbs,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-27,08:45:41,5.9,5.57,0.33,6.0,18e2a683-0045-45e2-9330-a2b006c4fa18_40000090
nmbs_5c51d097-dc44-4335-bf72-72bee483c627,nmbs,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-27,08:46:19,84.0,79.25,4.75,6.0,2d36b575-10d8-43e8-b50d-9d99a1c3e002_40000055
nmbs_b96dedac-d42c-4f74-9aaf-90b3b0571095,nmbs,9394f70c-0107-11ed-b32d-771bbb18a580,2022-10-27,12:47:03,5.7,5.38,0.32,6.0,43e12e28-b80a-4890-9445-401b95725f87_40000071
nmbs_783b31df-a494-4a67-8363-d319d89dbd30,nmbs,9394f70c-0107-11ed-b32d-771bbb18a580,2022-10-27,12:47:55,5.7,5.38,0.32,6.0,1fbe67fe-b625-43ea-a2ed-90d5cb35f6aa_40000079
delijn_0652294b-9632-45ad-8d74-19157cd7ff5b,delijn,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-27,13:21:41,2.5,2.36,0.14,6.0,4014
nmbs_882edd46-fd8d-434b-8e0d-ce9f94db2db2,nmbs,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-27,13:57:26,5.9,5.57,0.33,6.0,c898265e-aabe-4444-b667-b807ae66a230_40000090
nmbs_e01671da-2c4d-43a0-b23c-cc4de85f496d,nmbs,7728b3f2-55f7-11ed-82c7-037a8859862a,2022-10-27,15:17:23,12.2,11.51,0.69,6.0,3b96d1cd-5678-4a5c-95c2-22ef16ddcc1e_40000145
nmbs_09d4be95-5eda-4c2d-8f49-cb6b3c1d4105,nmbs,7728b3f2-55f7-11ed-82c7-037a8859862a,2022-10-27,15:23:03,12.8,12.08,0.72,6.0,218ebe57-bb0a-42af-83d1-8c33eec57c66_40000150
nmbs_f5431381-3bfb-454b-ae83-c8f877df6f7a,nmbs,7728b3f2-55f7-11ed-82c7-037a8859862a,2022-10-27,15:26:51,12.3,11.60,0.70,6.0,a3bfaef9-7459-45ea-b007-6b92c100eac5_40000090
nmbs_5daf8441-81dd-4cda-bb68-bf9c1ad0f989,nmbs,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-27,15:35:26,6.6,6.23,0.37,6.0,42c9a301-f9f5-4c6d-8b5f-962215598012_40000145
nmbs_f619c7c2-38eb-4ff1-8226-bbf7bf334dd1,nmbs,7728b3f2-55f7-11ed-82c7-037a8859862a,2022-10-27,16:04:31,6.6,6.23,0.37,6.0,89184ef4-93e4-4eb6-9f0f-61cbf4ce1865_40000145
nmbs_adc1eb89-fa70-4760-973c-7ed683f79d23,nmbs,7728b3f2-55f7-11ed-82c7-037a8859862a,2022-10-27,16:05:42,24.4,23.02,1.38,6.0,f44d1c50-db93-412b-97e3-6ab9533d06af_40000145
nmbs_099ce433-8ee8-493a-ad24-bf3899b59c33,nmbs,7728b3f2-55f7-11ed-82c7-037a8859862a,2022-10-27,16:06:54,19.0,17.92,1.08,6.0,087fb0ee-83d6-4999-b77b-5b97bcc028a7_40000131
nmbs_42a73094-580c-4b21-baa6-4a6b4bc8b48e,nmbs,7728b3f2-55f7-11ed-82c7-037a8859862a,2022-10-27,16:09:01,4.1,3.87,0.23,6.0,6cf10830-54a6-4cf1-ba70-855657840d5a_40000090
nmbs_0ce14378-29e4-4f30-a991-3610aeb9e7c6,nmbs,9394f70c-0107-11ed-b32d-771bbb18a580,2022-10-27,16:20:14,5.7,5.38,0.32,6.0,1734dc22-0c65-4719-b563-bd4a498125c9_40000079
nmbs_657a35ae-8702-4391-97b2-f39001b3d0df,nmbs,9394f70c-0107-11ed-b32d-771bbb18a580,2022-10-27,16:22:10,5.7,5.38,0.32,6.0,1d933562-aaca-4714-bbfb-4057fc6e3be5_40000079
nmbs_d2519d9a-daf5-4f96-8ca8-d404bf5bcb6f,nmbs,9394f70c-0107-11ed-b32d-771bbb18a580,2022-10-27,17:34:18,84.0,79.25,4.75,6.0,78f734f6-677d-4e2b-82c9-06ce1ef120fb_40000055
nmbs_31b9cfa3-2ed6-4c1e-8c92-ff6de715a913,nmbs,4fec01e2-f92a-11ec-8da2-af994b8e82f3,2022-10-28,00:43:43,5.7,5.38,0.32,6.0,19eed414-34da-4b22-a1b1-653a2ce3025b_40000079
nmbs_09df9a6b-906e-4af0-bb22-f8eedbfd80f2,nmbs,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-28,07:59:30,84.0,79.25,4.75,6.0,b01ed861-ee26-4a32-af02-89de62227f60_40000055
nmbs_62b659aa-193f-4538-a90a-cd3fc6f5a76c,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-28,09:18:05,12.2,11.51,0.69,6.0,005b610b-1426-4ee6-99a8-c94312620c1e_40000145
nmbs_eeea3cfb-dbc8-442a-a1f4-9760eb8d1d63,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-28,09:24:57,12.3,11.60,0.70,6.0,f8ada4e2-14ee-47ff-9f0b-24c6211e4420_40000090
nmbs_171b4582-4ede-421b-b500-dbc6170a15b1,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-28,09:28:08,27.0,25.47,1.53,6.0,36df39d2-400b-4ef4-980d-95bbce17170a_40000056
nmbs_b56e7bf2-2cfd-4722-ba78-8566d82b7c56,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-28,09:38:12,5.7,5.38,0.32,6.0,6519c0ae-0e7e-4ebd-ae6c-a899f4db4310_40000079
nmbs_7e6e4e47-7234-4ec6-8ef9-733150847ed8,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-28,11:03:11,19.0,17.92,1.08,6.0,499766ed-3365-44e8-a85b-062b028ee247_40000131
nmbs_106bdf56-1de7-4a00-88c5-7fa57cfaee84,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-28,11:06:17,12.2,11.51,0.69,6.0,38e14392-5b98-4cd9-bf3d-d5adcadc8058_40000145
nmbs_22e042db-3b68-430b-8366-3bef47616c08,nmbs,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-28,12:45:42,7.5,7.08,0.42,6.0,6b2731d8-65b6-463d-ad2d-342e866f3266_40000090
nmbs_cd92852e-3faf-4134-bc33-54c8724e12b9,nmbs,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-28,12:46:52,5.9,5.57,0.33,6.0,75b976c4-e9b1-4301-b776-802cbb0946e8_40000090
nmbs_fdec08d5-05d3-4172-a39c-a25067967cf7,nmbs,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-28,12:48:28,5.9,5.57,0.33,6.0,b1b039cb-9cac-4f83-be91-14e6b8e05c9f_40000090
nmbs_1292d67a-4186-4dce-9e55-9f1a11d0b403,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-28,12:52:11,12.3,11.60,0.70,6.0,987cd739-7c22-4feb-be8a-b34eb6417723_40000090
nmbs_9a4db20a-dee4-4f94-ac57-fede3b2d4b57,nmbs,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-28,12:53:57,5.9,5.57,0.33,6.0,59d938da-e303-4108-af76-09e7b7839265_40000090
nmbs_9e267911-2bd5-46ee-b38a-d0d088e31f23,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-28,13:06:41,12.3,11.60,0.70,6.0,4ec0fa02-9f76-42f6-af88-11f9f007c1aa_40000090
nmbs_621430dc-1f8e-40b1-b886-64e438cb8275,nmbs,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-28,13:09:39,5.9,5.57,0.33,6.0,872ecaeb-149b-49bd-8a81-8f40cd22ba5a_40000090
nmbs_f145c5c7-c88e-4a78-b210-3a3ce1390c26,nmbs,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-28,13:19:33,27.0,25.47,1.53,6.0,3815b5f8-6b61-4326-86b4-40acaeebb6b1_40000056
nmbs_d962fa77-9165-45b9-b5ca-5bf494a7ac63,nmbs,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-28,13:59:20,5.9,5.57,0.33,6.0,55ae1e7d-d71c-4965-84b4-ceff7085fe5a_40000090
nmbs_295a98aa-6361-4ce8-ba62-f2a004ac996a,nmbs,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-28,14:17:51,5.9,5.57,0.33,6.0,1ef99c99-f6e5-4df8-8a9e-b0b5ab3dcae6_40000090
nmbs_beb89ca6-bf43-4bd0-a903-b7ef997142ad,nmbs,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-28,14:22:47,7.5,7.08,0.42,6.0,50afb9bf-167c-45db-b979-1d754061ceff_40000090
nmbs_8dd9562f-d4b7-4689-9726-f2be104fb214,nmbs,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-28,14:28:49,5.9,5.57,0.33,6.0,1e1cd2ed-d63d-4eb6-a903-80e8ea061ef5_40000090
nmbs_565425c2-2526-4be1-b7c4-f946e2d5a2e2,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-28,14:50:23,12.3,11.60,0.70,6.0,aa2fe07a-8f1b-46cd-84c8-6e212c4c4e8e_40000090
nmbs_ab7b4679-eb94-4e1e-ada4-80c0d65a7eb2,nmbs,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-28,15:07:51,5.9,5.57,0.33,6.0,8b476a97-6646-4095-83be-e990c8200e3f_40000090
nmbs_aa651c26-0605-4968-ab5e-e62c83386bd0,nmbs,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-28,15:28:01,5.9,5.57,0.33,6.0,a6b076f6-82f5-49a5-8562-3706ac2e694e_40000090
delijn_3b631ff3-8553-43ba-800f-3b4ac70df1f2,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-28,15:44:36,,,,,4014
delijn_565f8b46-5650-47e8-8845-f38f9d903ed7,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-28,15:44:36,,,,,4014
delijn_06675f0c-b278-4512-9fd9-6e9af46a1f15,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-28,15:44:36,,,,,4014
delijn_73c98429-ab8f-4db5-825c-185e1136efb6,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-28,15:44:36,,,,,4014
delijn_f809fa8f-d379-4055-a35e-f75b6201b9cd,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-28,15:44:36,2.5,2.07,0.43,21.0,4014
delijn_491f6297-02fa-4d6e-ae6f-7ae6fb53c0b6,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-28,15:44:36,2.5,2.07,0.43,21.0,4014
delijn_3688246f-ccd7-415f-9bbf-929139080ed6,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-28,15:44:36,2.5,2.07,0.43,21.0,4014
delijn_ab0a72c9-00b9-4619-98e7-15b6dcad03f7,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-28,15:44:36,2.5,2.07,0.43,21.0,4014
delijn_71494b84-a9cf-434d-b0cf-b9c8b38fd7da,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-28,15:44:36,2.5,2.07,0.43,21.0,4014
delijn_f1b0c3b0-42a6-42ac-bbbc-d5030c869600,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-28,15:44:36,2.5,2.07,0.43,21.0,4014
delijn_a6278693-69d1-463c-9464-06818801af4a,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-28,16:27:40,2.5,2.07,0.43,21.0,4014
delijn_bdbcc5d5-e34b-4899-96c8-159b8d4d58ce,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-28,16:27:40,2.5,2.07,0.43,21.0,4014
delijn_3cc0feab-65bd-4285-8788-70ad6f5c6799,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-28,16:27:40,2.5,2.07,0.43,21.0,4014
delijn_217b6466-8cfb-437f-b8a9-6871e98cc141,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-28,16:37:50,2.5,2.07,0.43,21.0,4014
delijn_fde6e6d4-a0ba-4a82-974d-24daabec76d6,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-28,16:37:50,2.5,2.07,0.43,21.0,4014
delijn_3834f00b-e2ae-41b0-9db1-9ae2015a1c15,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-28,16:37:50,2.5,2.07,0.43,21.0,4014
delijn_a99bd4fc-8ce5-47bf-ae75-326d14552422,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-28,16:37:50,2.5,2.07,0.43,21.0,4014
delijn_5aaf0bef-c509-4ea3-a7a0-d89a355737b6,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-28,16:37:50,2.5,2.07,0.43,21.0,4014
delijn_7841e63f-e24a-42c3-81c1-b6114b4f3115,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-28,16:37:50,2.5,2.07,0.43,21.0,4014
delijn_8d4f7d71-5bdc-4b41-b658-72d83de46f90,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-28,16:37:50,2.5,2.07,0.43,21.0,4014
delijn_3b600a00-45af-4993-8798-35889f64d327,delijn,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-31,07:41:50,2.5,2.36,0.14,6.0,4014
nmbs_b9c48148-1d9d-4bbf-9896-d9434037bd2a,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-31,08:22:53,12.2,11.51,0.69,6.0,70938536-adcd-4367-bc78-717b199c9c5d_40000145
nmbs_934c9475-aa11-4c71-b738-909a17a08388,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-31,08:23:33,9.5,8.96,0.54,6.0,71ff4b98-c0d3-468e-9c4f-284a879f33a4_40000104
